stamp,d005es16583,d005es16640,d005es16661,d005es16701,d005es16732,d005es16756,d005es16802,d005es16831,d005es16885,d005es16919
2015-01-15 05:40:00,65,64,66,56,63,66,67,62,61,65
2015-01-15 05:45:00,64,63,66,54,61,64,66,64,62,66
2015-01-15 05:50:00,63,64,65,54,63,67,68,64,62,66
2015-01-15 05:55:00,63,62,65,54,59,66,63,61,60,62
2015-01-15 06:00:00,61,57,66,54,54,66,61,61,58,64
2015-01-15 06:05:00,62,61,64,55,56,65,62,62,57,62
2015-01-15 06:10:00,61,59,64,53,60,63,64,63,59,64
2015-01-15 06:15:00,59,60,65,55,55,61,60,58,56,61
2015-01-15 06:20:00,58,57,63,54,58,62,62,60,58,64
2015-01-15 06:25:00,60,60,63,54,57,62,64,61,56,61
2015-01-15 06:30:00,58,57,61,53,57,59,62,58,53,60
2015-01-15 06:35:00,59,57,62,54,60,60,60,57,42,47
2015-01-15 06:40:00,60,56,61,52,56,58,61,54,38,37
2015-01-15 06:45:00,57,54,59,53,54,56,58,53,40,31
2015-01-15 06:50:00,54,52,59,51,54,55,56,51,36,33
2015-01-15 06:55:00,53,48,58,52,50,52,54,51,34,27
2015-01-15 07:00:00,51,48,58,52,49,52,55,52,35,29
2015-01-15 07:05:00,50,36,55,46,51,54,57,53,37,28
2015-01-15 07:10:00,46,23,55,51,51,52,57,51,36,28
2015-01-15 07:15:00,47,20,53,51,52,54,58,51,36,23
2015-01-15 07:20:00,46,18,52,46,50,52,55,50,36,28
2015-01-15 07:25:00,49,24,54,49,48,48,49,49,34,24
2015-01-15 07:30:00,47,28,54,47,49,49,52,51,37,24
2015-01-15 07:35:00,48,24,56,38,50,51,56,53,35,22
2015-01-15 07:40:00,49,42,57,43,48,50,55,52,34,23
2015-01-15 07:45:00,52,45,56,37,46,50,57,53,36,21
2015-01-15 07:50:00,53,48,57,46,49,47,51,53,36,20
2015-01-15 07:55:00,53,47,57,43,51,47,52,52,32,20
2015-01-15 08:00:00,52,45,58,49,50,50,58,51,32,23
2015-01-15 08:05:00,53,41,59,45,53,51,56,52,37,21
2015-01-15 08:10:00,52,43,56,49,48,47,50,50,32,23
2015-01-15 08:15:00,52,45,56,44,47,47,53,50,33,20
2015-01-15 08:20:00,54,50,59,47,49,49,53,52,34,20
2015-01-15 08:25:00,53,46,56,45,49,47,54,48,28,20
2015-01-15 08:30:00,47,28,57,46,41,43,47,48,34,21
2015-01-15 08:35:00,46,26,52,37,41,42,45,48,31,21
2015-01-15 08:40:00,47,18,42,31,30,38,43,47,33,18
2015-01-15 08:45:00,45,23,51,26,23,33,47,48,34,22
2015-01-15 08:50:00,43,19,48,26,19,32,45,48,32,23
2015-01-15 08:55:00,46,15,34,29,19,26,34,47,30,28
2015-01-15 09:00:00,43,13,23,21,23,34,30,46,30,24
2015-01-15 09:05:00,43,18,41,22,21,27,43,47,30,19
2015-01-15 09:10:00,43,26,52,28,27,37,49,50,31,18
2015-01-15 09:15:00,45,25,50,28,25,37,49,48,28,18
2015-01-15 09:20:00,39,34,53,37,32,42,52,48,27,20
2015-01-15 09:25:00,38,44,58,36,38,46,50,46,32,22
2015-01-15 09:30:00,50,48,57,45,52,49,49,48,31,29
2015-01-15 09:35:00,47,48,56,44,46,49,49,47,29,22
2015-01-15 09:40:00,50,48,59,49,56,56,54,51,31,19
2015-01-15 09:45:00,53,47,59,52,51,53,48,48,31,23
2015-01-15 09:50:00,49,42,56,50,48,52,47,47,31,27
2015-01-15 09:55:00,30,37,57,49,50,55,50,48,39,45
2015-01-15 10:00:00,29,20,59,50,57,58,57,57,56,60
2015-01-15 10:05:00,18,21,60,52,58,58,56,56,55,60
2015-01-15 10:10:00,22,6,19,48,58,60,59,56,55,60
2015-01-15 10:15:00,22,10,23,24,51,61,61,56,57,62
2015-01-15 10:20:00,24,9,25,20,56,59,59,58,56,62
2015-01-15 10:25:00,25,9,22,20,48,57,60,56,54,62
2015-01-15 10:30:00,29,10,23,20,44,57,61,59,56,64
2015-01-15 10:35:00,38,16,31,28,43,57,58,57,56,62
2015-01-15 10:40:00,30,23,54,47,56,59,58,59,56,60
2015-01-15 10:45:00,26,20,62,52,53,59,56,56,55,58
2015-01-15 10:50:00,23,26,63,53,53,57,55,54,52,61
2015-01-15 10:55:00,27,23,62,51,57,58,58,55,53,61
2015-01-15 11:00:00,32,31,62,52,56,60,56,56,55,61
2015-01-15 11:05:00,28,34,59,49,55,58,58,56,53,58
2015-01-15 11:10:00,25,23,59,51,53,54,50,51,41,55
2015-01-15 11:15:00,27,20,42,51,52,55,53,53,50,56
2015-01-15 11:20:00,36,18,34,18,43,54,56,55,52,59
2015-01-15 11:25:00,33,26,44,27,42,55,54,55,51,58
2015-01-15 11:30:00,36,28,46,38,51,55,51,54,54,58
2015-01-15 11:35:00,31,28,57,49,55,59,56,55,52,57
2015-01-15 11:40:00,42,19,46,52,56,58,56,53,52,57
2015-01-15 11:45:00,48,48,59,54,54,58,57,53,53,60
2015-01-15 11:50:00,36,49,63,55,55,57,54,54,49,55
2015-01-15 11:55:00,43,45,60,56,54,56,51,53,51,58
2015-01-15 12:00:00,48,48,61,52,58,58,60,55,56,58
2015-01-15 12:05:00,49,46,62,55,55,61,53,53,51,56
2015-01-15 12:10:00,46,47,59,55,54,58,55,55,52,60
2015-01-15 12:15:00,41,42,59,51,59,59,53,53,52,58
2015-01-15 12:20:00,43,39,59,52,53,58,54,54,52,56
2015-01-15 12:25:00,32,33,52,49,45,50,50,49,43,54
2015-01-15 12:30:00,26,14,46,43,50,55,53,52,47,54
2015-01-15 12:35:00,40,16,23,20,39,46,48,48,38,50
2015-01-15 12:40:00,39,28,36,15,18,26,40,48,37,52
2015-01-15 12:45:00,48,41,46,17,15,25,25,47,33,51
2015-01-15 12:50:00,49,39,48,18,20,25,20,42,48,57
2015-01-15 12:55:00,50,42,48,18,19,25,24,46,53,57
2015-01-15 13:00:00,47,39,47,17,20,32,28,49,51,57
2015-01-15 13:05:00,47,37,47,18,20,34,48,53,51,56
2015-01-15 13:10:00,43,36,46,18,20,33,54,54,51,59
2015-01-15 13:15:00,38,36,45,18,23,28,53,56,52,59
2015-01-15 13:20:00,36,25,39,19,19,27,53,56,52,60
2015-01-15 13:25:00,34,22,41,15,20,25,47,58,55,61
2015-01-15 13:30:00,37,14,32,16,17,25,51,54,53,59
2015-01-15 13:35:00,32,16,36,14,12,17,31,51,43,57
2015-01-15 13:40:00,32,15,32,14,15,20,24,47,35,55
2015-01-15 13:45:00,31,16,28,9,13,14,19,45,35,51
2015-01-15 13:50:00,28,14,27,12,12,15,8,21,26,43
2015-01-15 13:55:00,31,11,26,11,12,16,17,21,19,19
2015-01-15 14:00:00,26,14,26,10,10,12,13,30,21,13
2015-01-15 14:05:00,27,9,21,11,13,14,10,16,22,18
2015-01-15 14:10:00,21,4,13,7,10,10,10,17,15,13
2015-01-15 14:15:00,25,6,10,7,7,7,5,12,16,11
2015-01-15 14:20:00,25,8,18,9,11,10,3,7,13,9
2015-01-15 14:25:00,23,6,19,8,10,15,5,7,12,7
2015-01-15 14:30:00,29,7,18,6,8,12,8,13,12,8
2015-01-15 14:35:00,27,10,23,8,8,9,4,10,15,12
2015-01-15 14:40:00,25,8,22,9,9,11,6,10,9,8
2015-01-15 14:45:00,25,13,17,7,8,8,6,13,14,8
2015-01-15 14:50:00,27,7,18,8,9,8,4,9,13,10
2015-01-15 14:55:00,36,13,23,7,7,6,5,9,9,7
2015-01-15 15:00:00,40,18,28,11,10,11,4,9,12,7
2015-01-15 15:05:00,32,19,30,11,10,11,8,10,10,7
2015-01-15 15:10:00,31,16,27,11,13,14,10,17,15,8
2015-01-15 15:15:00,39,17,29,10,10,10,9,14,16,12
2015-01-15 15:20:00,35,15,26,11,10,11,7,11,17,11
2015-01-15 15:25:00,40,17,27,13,10,9,8,12,11,8
2015-01-15 15:30:00,36,20,28,11,12,13,7,12,16,9
2015-01-15 15:35:00,32,17,32,12,10,11,9,14,15,9
2015-01-15 15:40:00,31,13,26,14,13,12,10,14,15,10
2015-01-15 15:45:00,30,15,29,10,10,10,7,14,17,12
2015-01-15 15:50:00,32,17,26,8,11,10,6,8,14,11
2015-01-15 15:55:00,34,16,28,11,10,7,5,8,9,7
2015-01-15 16:00:00,33,14,26,9,11,9,6,8,13,7
2015-01-15 16:05:00,33,13,25,9,10,7,5,10,11,7
2015-01-15 16:10:00,33,15,28,11,10,9,5,8,11,9
2015-01-15 16:15:00,40,17,27,12,9,9,6,9,12,8
2015-01-15 16:20:00,36,22,20,10,8,8,7,11,14,9
2015-01-15 16:25:00,35,17,24,13,10,8,6,9,13,10
2015-01-15 16:30:00,37,20,33,19,9,10,6,9,12,8
2015-01-15 16:35:00,38,20,31,20,11,11,6,11,14,8
2015-01-15 16:40:00,33,16,31,21,10,12,8,11,12,9
2015-01-15 16:45:00,36,16,26,11,12,12,6,13,18,10
2015-01-15 16:50:00,36,17,27,11,10,10,6,13,15,11
2015-01-15 16:55:00,40,14,20,9,11,11,7,10,16,11
2015-01-15 17:00:00,39,16,25,9,9,7,6,13,15,10
2015-01-15 17:05:00,40,16,28,12,11,9,5,6,12,11
2015-01-15 17:10:00,41,21,30,11,12,11,8,10,8,7
2015-01-15 17:15:00,39,19,30,12,11,12,8,13,17,10
2015-01-15 17:20:00,31,18,31,12,12,10,9,16,15,11
2015-01-15 17:25:00,34,14,27,11,11,12,8,15,18,12
2015-01-15 17:30:00,36,16,28,12,10,8,8,13,15,11
2015-01-15 17:35:00,35,19,27,11,12,9,5,13,17,11
2015-01-15 17:40:00,34,19,29,14,13,11,7,12,13,12
2015-01-15 17:45:00,32,13,24,10,12,13,8,16,14,10
2015-01-15 17:50:00,33,13,27,10,9,10,9,15,18,12
2015-01-15 17:55:00,39,16,27,11,11,10,8,16,14,12
2015-01-15 18:00:00,40,19,28,13,15,10,11,19,16,9
2015-01-15 18:05:00,37,17,29,18,32,14,8,13,18,12
2015-01-15 18:10:00,34,19,31,27,33,13,11,14,14,10
2015-01-15 18:15:00,35,21,32,38,35,11,9,14,17,13
2015-01-15 18:20:00,32,20,31,38,35,11,8,16,20,13
2015-01-15 18:25:00,34,23,34,45,37,11,8,16,17,11
2015-01-15 18:30:00,34,23,38,45,35,13,8,11,15,11
2015-01-15 18:35:00,36,29,48,43,37,12,11,15,11,9
2015-01-15 18:40:00,44,10,42,47,35,11,9,11,16,11
2015-01-15 18:45:00,45,5,13,39,35,12,9,13,14,9
2015-01-15 18:50:00,45,5,7,9,30,11,8,14,16,10
2015-01-15 18:55:00,44,5,8,6,10,9,7,16,21,10
2015-01-15 19:00:00,39,5,8,7,9,8,5,14,18,13
2015-01-15 19:05:00,39,13,13,6,12,8,4,9,14,10
2015-01-15 19:10:00,40,18,29,13,15,10,4,7,11,8
2015-01-15 19:15:00,42,20,30,13,14,23,10,12,10,7
2015-01-15 19:20:00,35,24,30,13,14,22,15,22,21,10
2015-01-15 19:25:00,18,17,32,14,14,21,14,28,22,21
2015-01-15 19:30:00,16,5,18,8,10,21,15,31,22,21
2015-01-15 19:35:00,21,6,15,4,8,11,11,29,22,18
2015-01-15 19:40:00,20,8,18,7,9,9,5,12,17,38
2015-01-15 19:45:00,22,7,19,8,8,9,5,10,11,32
2015-01-15 19:50:00,33,16,24,7,9,11,7,17,15,29
2015-01-15 19:55:00,42,23,32,14,11,12,7,18,22,47
2015-01-15 20:00:00,40,28,40,14,14,22,18,25,28,58
2015-01-15 20:05:00,39,31,42,15,17,29,41,51,52,60
2015-01-15 20:10:00,41,28,45,31,48,54,56,56,55,60
2015-01-15 20:15:00,36,38,59,54,55,57,55,53,53,58
2015-01-15 20:20:00,39,46,59,53,57,56,57,55,54,57
2015-01-15 20:25:00,45,50,59,56,57,57,58,57,52,57
2015-01-15 20:30:00,47,53,58,54,56,56,56,55,54,59
2015-01-15 20:35:00,49,50,59,51,55,58,55,55,52,59
2015-01-15 20:40:00,54,55,61,55,56,57,56,57,53,60
2015-01-15 20:45:00,53,55,62,58,57,59,59,56,55,61
2015-01-15 20:50:00,54,56,63,54,58,61,60,59,56,60
2015-01-15 20:55:00,52,54,63,56,61,60,61,58,56,61
2015-01-15 21:00:00,53,55,63,58,61,62,62,60,57,61
2015-01-15 21:05:00,56,55,63,53,56,59,58,57,56,61
2015-01-15 21:10:00,56,54,63,57,55,60,62,60,54,62
2015-01-15 21:15:00,56,54,60,56,56,60,60,60,58,63
2015-01-15 21:20:00,56,54,62,54,58,60,59,59,57,63
2015-01-15 21:25:00,55,51,61,53,54,58,62,59,59,64
2015-01-15 21:30:00,58,55,62,53,60,61,62,61,58,64
2015-01-15 21:35:00,58,54,63,57,57,61,63,60,58,64
2015-01-15 21:40:00,58,58,63,56,60,61,62,59,58,61
2015-01-15 21:45:00,57,55,63,53,56,60,61,58,58,61
2015-01-15 21:50:00,58,57,64,57,57,62,62,59,58,65
2015-01-15 21:55:00,60,59,66,56,59,62,63,60,59,65
2015-01-15 22:00:00,59,58,66,62,66,64,61,58,58,65
2015-01-15 22:05:00,59,58,62,61,61,63,61,58,58,64
2015-01-15 22:10:00,61,61,62,55,61,63,64,59,59,63
2015-01-15 22:15:00,63,60,65,57,60,63,65,62,61,65
2015-01-15 22:20:00,60,63,64,58,61,64,61,61,63,64
2015-01-15 22:25:00,62,59,62,60,55,65,63,61,60,65
2015-01-15 22:30:00,62,57,63,54,59,65,63,63,61,65
2015-01-15 22:35:00,62,62,64,58,59,64,63,61,63,66
2015-01-15 22:40:00,62,63,66,58,57,66,63,64,62,65
2015-01-15 22:45:00,61,62,66,58,64,65,61,60,61,64
2015-01-15 22:50:00,61,60,64,59,61,63,58,57,58,63
2015-01-15 22:55:00,63,62,65,57,64,64,61,62,62,66
2015-01-15 23:00:00,62,62,63,56,53,63,64,62,59,65
2015-01-15 23:05:00,64,61,65,61,59,65,63,61,61,66
2015-01-15 23:10:00,61,60,65,55,65,64,66,62,61,64
2015-01-15 23:15:00,63,62,64,54,60,64,61,63,61,64
2015-01-15 23:20:00,62,62,63,59,62,63,64,61,63,65
2015-01-15 23:25:00,63,61,66,61,60,66,62,63,62,66
2015-01-15 23:30:00,64,63,65,62,64,63,64,67,64,67
2015-01-15 23:35:00,64,60,66,60,60,62,58,62,57,64
2015-01-15 23:40:00,62,60,68,58,62,64,60,61,61,64
2015-01-15 23:45:00,65,66,67,56,53,64,65,62,62,66
2015-01-15 23:50:00,63,62,65,59,56,65,62,59,59,62
2015-01-15 23:55:00,63,62,65,63,64,66,64,65,64,67
2015-01-16 00:00:00,66,64,67,58,62,69,66,63,63,67
2015-01-16 00:05:00,66,64,64,60,65,65,61,60,61,65
2015-01-16 00:10:00,63,67,64,60,63,66,62,60,60,66
2015-01-16 00:15:00,64,60,58,59,56,64,61,60,57,65
2015-01-16 00:20:00,62,57,69,60,63,64,69,64,62,67
2015-01-16 00:25:00,65,65,67,63,58,66,63,62,59,63
2015-01-16 00:30:00,63,57,64,59,55,60,61,62,61,60
2015-01-16 00:35:00,62,52,66,58,55,63,61,60,61,61
2015-01-16 00:40:00,65,62,63,59,58,60,52,56,58,61
2015-01-16 00:45:00,65,58,66,59,52,64,51,63,66,64
2015-01-16 00:50:00,66,62,68,58,51,65,57,63,61,58
2015-01-16 00:55:00,64,57,65,55,59,62,55,59,56,63
2015-01-16 01:00:00,59,56,64,57,56,64,54,59,59,61
2015-01-16 01:05:00,66,63,64,62,63,65,68,62,64,66
2015-01-16 01:10:00,64,63,67,60,60,63,59,58,60,63
2015-01-16 01:15:00,61,59,66,60,50,62,56,60,63,66
2015-01-16 01:20:00,64,63,66,59,63,62,64,61,63,66
2015-01-16 01:25:00,63,60,64,60,62,63,63,64,63,66
2015-01-16 01:30:00,65,64,65,62,54,66,57,60,56,61
2015-01-16 01:35:00,64,64,67,61,55,64,60,66,62,64
2015-01-16 01:40:00,67,63,66,56,51,67,59,62,62,68
2015-01-16 01:45:00,67,63,61,61,48,65,58,60,56,65
2015-01-16 01:50:00,59,56,63,60,53,65,62,60,62,66
2015-01-16 01:55:00,64,64,68,61,55,64,67,60,58,65
2015-01-16 02:00:00,62,64,66,59,61,63,68,62,62,66
2015-01-16 02:05:00,65,65,69,61,66,61,66,61,64,63
2015-01-16 02:10:00,65,63,65,57,59,65,61,65,63,64
2015-01-16 02:15:00,65,66,68,61,65,67,67,62,65,66
2015-01-16 02:20:00,65,64,66,59,59,66,59,62,62,63
2015-01-16 02:25:00,62,61,64,55,58,64,60,64,61,63
2015-01-16 02:30:00,61,56,65,58,54,66,64,65,60,62
2015-01-16 02:35:00,64,57,67,54,54,66,58,62,62,65
2015-01-16 02:40:00,62,56,60,55,59,68,70,61,60,60
2015-01-16 02:45:00,63,59,64,59,63,66,61,63,62,67
2015-01-16 02:50:00,68,58,66,57,64,68,65,60,61,67
2015-01-16 02:55:00,64,57,66,60,54,63,60,58,55,63
2015-01-16 03:00:00,59,54,62,55,60,62,63,61,60,67
2015-01-16 03:05:00,61,62,65,60,51,63,53,55,61,62
2015-01-16 03:10:00,64,55,66,61,61,64,57,55,55,60
2015-01-16 03:15:00,60,60,63,61,56,66,58,62,63,60
2015-01-16 03:20:00,61,59,65,57,54,66,62,61,64,64
2015-01-16 03:25:00,64,60,67,56,68,69,70,65,64,67
2015-01-16 03:30:00,68,63,68,56,57,66,65,63,63,65
2015-01-16 03:35:00,65,61,66,64,59,61,64,65,65,68
2015-01-16 03:40:00,66,63,66,60,66,67,63,64,63,69
2015-01-16 03:45:00,64,66,65,56,59,66,63,63,61,65
2015-01-16 03:50:00,64,62,66,54,58,63,61,66,63,65
2015-01-16 03:55:00,61,64,66,54,61,67,58,65,61,64
2015-01-16 04:00:00,64,60,65,49,50,64,56,62,58,62
2015-01-16 04:05:00,64,60,67,57,55,70,65,62,62,67
2015-01-16 04:10:00,65,66,67,62,57,67,67,60,62,68
2015-01-16 04:15:00,65,65,69,62,58,70,60,65,63,67
2015-01-16 04:20:00,64,62,69,65,65,66,68,67,62,68
2015-01-16 04:25:00,66,64,70,63,63,65,70,68,65,67
2015-01-16 04:30:00,66,64,69,57,64,66,66,65,63,67
2015-01-16 04:35:00,65,61,66,62,58,69,66,63,63,65
2015-01-16 04:40:00,65,62,67,63,59,67,66,61,59,65
2015-01-16 04:45:00,65,63,65,60,61,66,56,56,63,67
2015-01-16 04:50:00,65,68,67,61,56,65,59,63,61,65
2015-01-16 04:55:00,64,60,63,57,59,65,64,62,62,65
2015-01-16 05:00:00,66,67,69,55,67,67,67,65,63,66
2015-01-16 05:05:00,62,60,66,54,55,67,57,60,59,63
2015-01-16 05:10:00,63,63,65,55,58,67,64,63,63,66
2015-01-16 05:15:00,65,64,68,56,61,69,67,65,64,67
2015-01-16 05:20:00,64,66,67,58,59,67,61,63,61,66
2015-01-16 05:25:00,64,63,65,53,58,66,61,62,62,66
2015-01-16 05:30:00,63,65,68,57,56,66,65,65,62,66
2015-01-16 05:35:00,64,63,66,56,60,66,63,60,58,63
2015-01-16 05:40:00,62,62,65,55,59,64,65,62,61,66
2015-01-16 05:45:00,64,63,66,56,61,64,64,62,59,64
2015-01-16 05:50:00,60,58,66,57,59,65,59,59,58,65
2015-01-16 05:55:00,59,60,65,52,59,64,63,61,60,65
2015-01-16 06:00:00,62,60,65,54,61,65,62,63,58,66
2015-01-16 06:05:00,63,64,66,55,63,65,66,65,59,63
2015-01-16 06:10:00,61,59,64,54,60,60,65,62,58,64
2015-01-16 06:15:00,59,58,63,55,62,64,62,59,55,61
2015-01-16 06:20:00,58,57,64,57,60,64,64,61,58,63
2015-01-16 06:25:00,61,58,63,56,57,63,63,61,56,61
2015-01-16 06:30:00,58,53,61,54,56,59,61,57,51,58
2015-01-16 06:35:00,56,50,60,55,55,59,58,57,50,58
2015-01-16 06:40:00,52,53,63,55,57,59,62,55,48,56
2015-01-16 06:45:00,55,51,59,51,51,57,58,55,43,56
2015-01-16 06:50:00,52,47,57,46,51,58,60,56,43,53
2015-01-16 06:55:00,52,50,59,54,51,56,59,55,48,55
2015-01-16 07:00:00,54,49,58,53,53,56,60,57,49,56
2015-01-16 07:05:00,54,47,57,49,49,53,57,56,44,55
2015-01-16 07:10:00,52,45,55,49,53,54,58,54,38,35
2015-01-16 07:15:00,54,48,59,52,52,54,59,52,37,24
2015-01-16 07:20:00,52,46,57,51,51,53,55,50,34,31
2015-01-16 07:25:00,49,46,55,51,51,53,51,50,33,25
2015-01-16 07:30:00,47,39,54,40,47,49,57,52,34,25
2015-01-16 07:35:00,52,41,55,45,50,51,57,48,34,28
2015-01-16 07:40:00,53,46,54,36,47,49,53,51,33,23
2015-01-16 07:45:00,52,43,52,38,42,49,53,50,34,23
2015-01-16 07:50:00,52,45,56,36,47,48,52,49,34,21
2015-01-16 07:55:00,50,40,55,39,47,46,50,50,34,24
2015-01-16 08:00:00,48,34,55,33,43,45,53,50,34,21
2015-01-16 08:05:00,48,33,56,39,44,48,53,49,33,20
2015-01-16 08:10:00,49,28,51,35,36,45,45,50,32,22
2015-01-16 08:15:00,47,35,54,29,26,41,36,49,32,20
2015-01-16 08:20:00,47,22,48,18,27,43,48,51,32,24
2015-01-16 08:25:00,48,21,45,12,18,26,49,43,31,23
2015-01-16 08:30:00,47,30,49,24,16,19,23,34,30,18
2015-01-16 08:35:00,47,22,47,33,20,22,14,35,28,12
2015-01-16 08:40:00,45,22,37,28,24,31,17,40,32,20
2015-01-16 08:45:00,47,36,49,18,22,27,17,31,31,20
2015-01-16 08:50:00,48,40,48,14,13,17,16,31,30,22
2015-01-16 08:55:00,48,28,48,22,17,19,12,22,24,22
2015-01-16 09:00:00,45,30,47,16,19,28,17,26,19,15
2015-01-16 09:05:00,48,39,48,19,15,19,16,37,24,20
2015-01-16 09:10:00,52,46,48,16,18,21,11,25,29,21
2015-01-16 09:15:00,50,42,47,13,18,19,11,20,26,19
2015-01-16 09:20:00,47,42,48,12,14,21,13,21,22,17
2015-01-16 09:25:00,49,41,49,21,15,20,11,21,25,17
2015-01-16 09:30:00,51,42,45,20,23,26,15,27,21,18
2015-01-16 09:35:00,51,44,46,18,19,26,12,26,29,23
2015-01-16 09:40:00,52,45,52,19,16,19,11,24,27,20
2015-01-16 09:45:00,53,48,50,17,16,21,12,22,18,16
2015-01-16 09:50:00,54,48,49,17,21,26,11,20,24,13
2015-01-16 09:55:00,51,47,51,18,12,19,16,34,22,17
2015-01-16 10:00:00,48,44,50,16,16,20,15,28,30,28
2015-01-16 10:05:00,49,41,47,14,20,24,16,26,28,26
2015-01-16 10:10:00,50,41,46,22,19,25,19,44,43,11
2015-01-16 10:15:00,50,44,49,21,22,33,45,51,34,22
2015-01-16 10:20:00,50,43,49,27,29,29,42,49,33,45
2015-01-16 10:25:00,48,40,47,21,25,35,33,53,56,62
2015-01-16 10:30:00,48,41,50,28,32,46,55,58,55,61
2015-01-16 10:35:00,43,42,56,46,52,60,61,58,55,63
2015-01-16 10:40:00,52,47,59,54,57,60,60,58,57,61
2015-01-16 10:45:00,52,49,56,46,55,57,58,57,54,58
2015-01-16 10:50:00,49,45,52,44,56,61,57,58,55,61
2015-01-16 10:55:00,53,47,52,42,56,60,59,58,55,61
